timestamp,ip,port,username,password,country
"2025-04-10 01:26:12,945",192.168.47.129,49228,root,admin123,Unknown
"2025-04-10 01:26:32,677",192.168.47.129,49228,admin,123456,Unknown
"2025-04-10 01:26:55,268",192.168.47.129,49228,abuzarkhanse,asd@123,Unknown
"2025-04-10 01:27:21,150",192.168.47.129,39266,admin,admin,Unknown
"2025-04-10 01:27:32,002",192.168.47.129,39266,sufi,sufi@123,Unknown
"2025-04-10 01:27:36,181",192.168.47.129,39266,jdfn,d,Unknown
"2025-04-10 01:32:17,290",127.0.0.1,45838,admin,45678,Unknown
"2025-04-10 01:32:22,444",127.0.0.1,45838,asdf,asdf,Unknown
"2025-04-10 01:32:24,097",127.0.0.1,45838,asd,as,Unknown
"2025-04-10 01:34:11,777",127.0.0.1,45528,admin,root123,Unknown
"2025-04-10 01:34:17,179",127.0.0.1,45528,ali,465,Unknown
"2025-04-10 01:34:23,039",127.0.0.1,45528,khan,7852,Unknown
"2025-04-10 01:34:58,987",127.0.0.1,50698,kali,kali@123,Unknown
"2025-04-10 01:35:04,808",127.0.0.1,50698,asdf,456798,Unknown
"2025-04-10 01:35:13,509",127.0.0.1,50698,alikhan,465@654,Unknown
"2025-04-10 01:49:00,374",192.168.47.129,43964,kali,kali,Unknown
"2025-04-10 01:49:04,751",192.168.47.129,43964,kalll,sd,Unknown
"2025-04-10 01:49:05,600",192.168.47.129,43964,sddf,sdf,Unknown
"2025-04-29 13:47:54,245",127.0.0.1,50236,admin,admin,Unknown
"2025-04-29 13:48:12,052",127.0.0.1,50236,admin@123,admin,Unknown
"2025-04-29 13:48:20,423",127.0.0.1,50236,alikha,alikhan,Unknown
"2025-04-29 13:49:10,763",127.0.0.1,46438,khan,khan@123,Unknown
"2025-04-29 13:49:21,110",127.0.0.1,46438,WaqarKhan,waqar@khan,Unknown
"2025-04-29 13:49:28,517",127.0.0.1,46438,khan123,khan@123,Unknown
"2025-04-29 14:00:37,064",192.168.47.129,55550,kali,kali,Unknown
"2025-04-29 14:00:43,067",192.168.47.129,55550,asd,123,Unknown
"2025-04-29 14:00:46,821",192.168.47.129,55550,asdfg,12345,Unknown
"2025-04-29 15:16:18,088",192.168.47.129,51766,Abuzar,xar@123,Unknown
"2025-04-29 15:16:25,214",192.168.47.129,51766,Ali,Khan@321,Unknown
"2025-04-29 15:16:36,038",192.168.47.129,51766,Hassan,hassan@345,Unknown
"2025-04-29 15:23:16,228",192.168.47.129,45210,Kali,Kali,Unknown
"2025-04-29 15:23:20,644",192.168.47.129,45210,ali,khan,Unknown
"2025-04-29 15:23:33,607",192.168.47.129,45210,jawad ghen,ghe sar,Unknown
"2025-04-29 15:29:40,301",192.168.47.129,49836,kaliAbuzar,kali@admin,Unknown
"2025-04-29 15:29:46,973",192.168.47.129,49836,AdminNew,NEW,Unknown
"2025-04-29 15:29:58,102",192.168.47.129,49836,SHahzaib,khan@321,Unknown
